"n","p","test","R_time","time_median","time_p10","time_p90","mem_median","mcse_time"
2000,32,"Pigeon-Heyse",30,0.00534755000012411,0.00222383000002538,0.00899613000010504,870976,0.000419296089761305
5000,32,"Pigeon-Heyse",30,0.0054898000000776,0.00293528000008792,0.00825141000007079,2205280,0.000422260692871844
10000,32,"Pigeon-Heyse",30,0.00751000000025214,0.00391888000017389,0.0165655600001628,4396352,0.000830378495369522
20000,32,"Pigeon-Heyse",30,0.013506100000086,0.00696170000012444,0.0245020700001078,8778496,0.00121575021416044
50000,32,"Pigeon-Heyse",10,0.019681650000166,0.0156265999998368,0.0337427400001389,21662784,0.00232015138123722
200,4,"Pulkstenis-Robinson",30,0.00240560000008827,0.00203091000030326,0.00351319000017156,85160,0.00012911691734116
500,4,"Pulkstenis-Robinson",30,0.00259630000016386,0.001695250000148,0.00370599000004858,198248,0.000267263424570711
1000,4,"Pulkstenis-Robinson",30,0.00370820000011918,0.0020482300001504,0.00642760000032468,390824,0.000322834048683553
2000,4,"Pulkstenis-Robinson",30,0.00542565000012019,0.00269386000031773,0.00713025999998536,775976,0.000284218560050213
5000,4,"Pulkstenis-Robinson",30,0.00629635000018425,0.00478227000007792,0.00724899000026653,2078888,0.00019352487984491
10000,4,"Pulkstenis-Robinson",30,0.0104253500002187,0.00846514999998362,0.0136905600001228,4152104,0.000543120109509824
20000,4,"Pulkstenis-Robinson",30,0.0216443500002015,0.0146056000001636,0.0313918600002352,8298536,0.00380450674190464
50000,4,"Pulkstenis-Robinson",10,0.0329056000002765,0.0305266600001687,0.0402735400002485,19951392,0.00335906405750641
200,8,"Pulkstenis-Robinson",30,0.00297340000008717,0.00171679000020503,0.00764953000016248,110200,0.000665207310771543
500,8,"Pulkstenis-Robinson",30,0.00295264999999745,0.00199454000003243,0.00358875000019907,255480,0.000182874057442096
1000,8,"Pulkstenis-Robinson",30,0.00392395000017132,0.00231143000019074,0.00713462000010168,504440,0.000331292894842657
2000,8,"Pulkstenis-Robinson",30,0.00600720000011279,0.00355324000017845,0.00842847000010352,1002360,0.000377390703912067
5000,8,"Pulkstenis-Robinson",30,0.00759235000009539,0.00527046000013343,0.00886955000019042,2741880,0.000277048820070711
10000,8,"Pulkstenis-Robinson",30,0.0125371000000314,0.0094229700001506,0.0141931100001784,5477240,0.000484747171566183
